,time,A,W,C,beta_hat,alpha,gamma,zeta,limit,q,r,N,M,p,s_final,route_adjacent_ratio,traced_edges,traced_edges_distant,group 0 adoption rate,group 1 adoption rate,avg. exp. interval - group 0,avg. exp. interval - group 1,avg. eff. inf. interval - group 0,avg. eff. inf. interval - group 1,case,infected_ratio
104,204,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,897,0.8757763975155279,182,0,,1.0,,2.949122807017544,,3.201975308641975,q-0.0_r-0.05,-18.933333333333334
105,35,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,2012,0.8333333333333334,187,0,,1.0,,1.7777777777777777,,0.029135802469135802,q-0.0_r-0.05,-43.71111111111111
106,5,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,2022,1.0,176,0,,1.0,,-1.0,,0.0014814814814814814,q-0.0_r-0.05,-43.93333333333333
107,24,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,2021,0.6666666666666666,196,0,,1.0,,1.0,,0.0024691358024691358,q-0.0_r-0.05,-43.91111111111111
108,3,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,2023,1.0,179,0,,1.0,,,,0.0009876543209876543,q-0.0_r-0.05,-43.955555555555556
109,18,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,2020,1.0,159,0,,1.0,,2.0,,0.0044444444444444444,q-0.0_r-0.05,-43.888888888888886
110,5,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,2021,0.6666666666666666,188,0,,1.0,,,,0.0004938271604938272,q-0.0_r-0.05,-43.91111111111111
111,5,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,2021,1.0,188,0,,1.0,,-1.0,,0.0,q-0.0_r-0.05,-43.91111111111111
112,137,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,1975,0.8775510204081632,188,0,,1.0,,3.0952380952380953,,0.13728395061728396,q-0.0_r-0.05,-42.888888888888886
113,14,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,2019,1.0,168,0,,1.0,,1.0,,0.005925925925925926,q-0.0_r-0.05,-43.86666666666667
114,305,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,755,0.8715524034672971,178,0,,1.0,,2.970125786163522,,3.928888888888889,q-0.0_r-0.05,-15.777777777777779
115,244,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,692,0.8626126126126126,159,0,,1.0,,3.0306748466257667,,4.121975308641975,q-0.0_r-0.05,-14.377777777777778
116,106,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,1989,0.9142857142857143,170,0,,1.0,,3.1333333333333333,,0.11407407407407408,q-0.0_r-0.05,-43.2
117,308,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,574,0.8710344827586207,176,0,,1.0,,3.0438066465256797,,4.818271604938271,q-0.0_r-0.05,-11.755555555555556
118,190,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,675,0.8747220163083765,176,0,,1.0,,3.0709219858156027,,4.179753086419753,q-0.0_r-0.05,-14.0
119,19,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,2022,1.0,184,0,,1.0,,4.0,,0.005925925925925926,q-0.0_r-0.05,-43.93333333333333
120,343,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,502,0.8646517739816032,160,0,,1.0,,2.8669410150891634,,4.944197530864198,q-0.0_r-0.05,-10.155555555555555
121,238,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,846,0.8760611205432938,189,0,,1.0,,3.110497237569061,,3.7032098765432098,q-0.0_r-0.05,-17.8
122,18,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,2020,1.0,173,0,,1.0,,0.5,,0.012345679012345678,q-0.0_r-0.05,-43.888888888888886
123,356,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,675,0.8732394366197183,184,0,,1.0,,2.8625954198473282,,4.396543209876543,q-0.0_r-0.05,-14.0
124,1,1.0,0.5,,0.4,0.25,0.1,0.1,10,0.0,0.05,45,45,0.1,2024,0.75,159,0,,1.0,,-1.0,,0.0,q-0.0_r-0.05,-43.977777777777774
